,timestep,samples,flow,density,velocity
803,8100,300,2092.3128,35.910000000000004,58.11982200000001
804,8400,300,2055.0528,35.910000000000004,57.084858000000004
805,8700,300,2051.6832,35.910000000000004,56.99122199999999
806,9000,300,2092.6656000000003,35.910000000000004,58.12959599999999
807,9300,300,2092.2408,35.910000000000004,58.11777
808,9600,300,2060.4456,35.910000000000004,57.2346
809,9900,300,2087.7984,35.910000000000004,57.994488000000004
810,1200,200,1936.7855999999997,37.24,51.878285999999996
811,1500,300,1920.4776,37.24,51.441426
812,1800,300,2086.596,37.24,55.891026000000004
813,2100,300,2085.1416,37.24,55.852146000000005
814,2400,300,2057.8032,37.24,55.119798
815,2700,300,2027.0952,37.24,54.297216000000006
816,3000,300,2012.3136000000002,37.24,53.90134200000001
817,3300,300,2016.2951999999998,37.24,54.0081
818,3600,300,2035.7352,37.24,54.528768
819,3900,300,2034.4824,37.24,54.495126
820,4200,300,2045.7144,37.24,54.796122000000004
821,4500,300,2036.9016000000001,37.24,54.559926000000004
822,4800,300,2029.7232,37.24,54.367794
823,5100,300,2017.5624,37.24,54.042066
824,5400,300,2051.2943999999998,37.24,54.94554
825,5700,300,2019.9312000000002,37.24,54.105354000000005
826,6000,300,2034.4967999999997,37.24,54.495504000000004
827,6300,300,2050.884,37.24,54.93463200000001
828,6600,300,2019.4776,37.24,54.093258
829,6900,300,2031.6383999999998,37.24,54.419094
830,7200,300,2045.7719999999997,37.24,54.797526000000005
831,7500,300,2050.7544,37.24,54.93096
832,7800,300,2053.6632,37.24,55.00888200000001
833,8100,300,2002.7592,37.24,53.64543600000001
834,8400,300,2040.4368000000002,37.24,54.654642
835,8700,300,2041.1999999999998,37.24,54.675107999999994
836,9000,300,2072.9519999999998,37.24,55.525554
837,9300,300,2066.6520000000005,37.24,55.356911999999994
838,9600,300,2081.844,37.24,55.763802
839,9900,300,2076.2352,37.24,55.613466
840,1200,200,1980.2592,38.57,51.213438
841,1500,300,1970.8344,38.57,50.969628
842,1800,300,1977.7824,38.57,51.14934
