,timestep,samples,flow,density,velocity
1213,5100,300,1240.7976,48.276340000000005,31.762854
1214,5400,300,1632.0024,43.01486,41.714999999999996
1215,5700,300,1823.9976,29.94628,62.611596
1216,6000,300,1787.9976,29.00464,63.430074
1217,6300,300,1427.9976000000001,40.33757,44.63397
1218,6600,300,1607.9976,46.4968,42.128046
1219,6900,300,1992.0024,31.13131,67.682196
1220,7200,300,1401.6023999999998,43.576119999999996,44.235611999999996
1221,7500,300,1598.4000000000003,49.02513,34.062174
1222,7800,300,1699.1999999999998,32.72864,51.788160000000005
1223,8100,300,1720.8000000000002,42.79275,42.303762000000006
1224,8400,300,1560.0024,42.30464,42.58521
1225,8700,300,1658.3975999999998,38.18696,47.756034
1226,9000,300,1778.4,32.12881,59.30528399999999
1227,9300,300,1569.6000000000001,37.80525,45.701820000000005
1228,9600,300,1499.9976000000001,44.685340000000004,39.33792
1229,9900,300,1768.8024,36.037679999999995,58.278960000000005
1231,1500,300,1322.4024,37.932930000000006,53.54920800000001
1232,1800,300,777.6000000000001,70.06706,20.099988
1233,2100,300,1771.2,38.86659,48.797586
1234,2400,300,2167.2,27.01895,85.62855599999999
1235,2700,300,1514.3976000000002,32.04103,63.961326
1236,3000,300,1000.7999999999998,62.22804,22.661856000000004
1237,3300,300,1780.7975999999999,32.80711,58.068197999999995
1238,3600,300,2097.5976,24.28979,86.14053000000001
1239,3900,300,1322.4024,38.72694,50.128848000000005
1240,4200,300,1317.6,46.72822,39.845898000000005
1241,4500,300,1862.4024,30.645860000000003,61.508484
1242,4800,300,1931.9976000000004,30.92516,66.108096
1243,5100,300,1132.7976,51.863350000000004,26.553798
1244,5400,300,1588.8024,41.98012,44.301222
1245,5700,300,1848.0023999999999,34.29804,58.26389400000001
1246,6000,300,1655.9999999999998,33.0372,64.77651
1247,6300,300,1368.0,48.90676,33.707394
1248,6600,300,1598.4000000000003,43.28086,43.005384
1249,6900,300,1874.3976000000002,35.399280000000005,52.81767000000001
1250,7200,300,1420.7976,49.43211,32.454756
1251,7500,300,1509.6024,43.62001,37.997478
1252,7800,300,1725.6024,36.37816,51.048414
1253,8100,300,1768.8024,34.63453,59.29011
1254,8400,300,1495.2024,43.9698,37.305954
1255,8700,300,1430.4024,46.268040000000006,36.015084
1256,9000,300,1821.6,40.50781,48.009510000000006
1257,9300,300,1524.0023999999999,41.094339999999995,43.574166
1258,9600,300,1620.0,40.830999999999996,42.83199
1259,9900,300,1545.6024,40.94804,41.715864
1261,1500,300,1471.1976000000002,35.33145,54.537354
1262,1800,300,660.0024,79.85054000000001,16.298172
1263,2100,300,1895.9976,34.39513,57.19901399999999
1264,2400,300,2219.9976,20.45141,108.280206
1265,2700,300,1310.3999999999999,43.50962,37.730772
1266,3000,300,1046.3976,62.84915,24.844968
1267,3300,300,1920.0023999999999,36.69071,61.924499999999995
1268,3600,300,2039.9976,29.46349,75.91762800000001
1269,3900,300,1051.2,56.82691,24.090426
1270,4200,300,1404.0,42.57463,39.47076
1271,4500,300,1970.4024,32.59032,60.307686
1272,4800,300,1692.0,37.98746,44.954028
1273,5100,300,1128.0024,54.31188,30.033179999999998
1274,5400,300,1655.9999999999998,39.21505,46.893924
1275,5700,300,1836.0,39.13658,47.880018
1276,6000,300,1531.2024,39.344060000000006,42.66675
1277,6300,300,1245.6,49.86835,29.351430000000004
1278,6600,300,1809.5975999999998,34.38449,54.60874200000001
1279,6900,300,1800.0,39.90133,51.263982000000006
1280,7200,300,1286.4024,44.27836,31.503384
1281,7500,300,1704.0024,31.01427,60.898284000000004
1282,7800,300,1778.4,32.94144,61.27288200000001
1283,8100,300,1437.6024,49.50393,36.898524
1284,8400,300,1322.4024,52.93532999999999,29.342304000000006
1285,8700,300,1737.5976,37.34108,58.154436
1286,9000,300,1675.2024000000001,30.84137,63.275904000000004
1287,9300,300,1521.5976,45.17345,41.300604
1288,9600,300,1387.2024000000001,48.005019999999995,36.174383999999996
1289,9900,300,1787.9976,36.35688,50.281614
1291,1500,300,1305.5976,35.43917999999999,63.94631400000001
1292,1800,300,511.19999999999993,90.96800999999999,13.99437
1293,2100,300,1797.6024,33.42955,59.12605800000001
1294,2400,300,2325.6,20.46737,113.33871
1295,2700,300,1341.5976,45.49132,35.259408
1296,3000,300,827.9999999999999,68.98843,17.640018
1297,3300,300,1812.0023999999999,32.67677,60.215346000000004
1298,3600,300,2157.6024,23.62479,92.83917600000001
1299,3900,300,1171.2024000000001,51.843399999999995,29.965571999999998
1300,4200,300,1048.8024,59.37785,23.379408
1301,4500,300,1855.2024,34.12115,54.950076
1302,4800,300,2018.3976,28.65751,76.145778
1303,5100,300,1044.0,56.22042999999999,23.772420000000004
1304,5400,300,1344.0024,42.77147,38.53283400000001
1305,5700,300,1908.0,29.93963,66.5253
1306,6000,300,1838.3975999999998,38.4237,55.395846
1307,6300,300,1027.2024000000001,62.50601,23.113998
1308,6600,300,1591.2,39.49036,45.85518
1309,6900,300,1953.5975999999998,34.05066,60.375186
1310,7200,300,1368.0,43.71444,41.25789
1311,7500,300,1154.3976,60.44052,25.136406
1312,7800,300,1766.3975999999998,38.81871,47.000519999999995
1313,8100,300,1872.0,29.545949999999998,63.20078999999999
1314,8400,300,1204.7976,50.323209999999996,31.700808000000002
1315,8700,300,1531.2024,45.575109999999995,35.590914
1316,9000,300,1584.0000000000002,40.046299999999995,45.499104
1317,9300,300,1857.6000000000001,34.34326,63.8442
1318,9600,300,1236.0023999999999,46.27602,34.172064
1319,9900,300,1584.0000000000002,40.79509,40.491792
1321,1500,300,1262.3976,44.62682,46.82393999999999
1322,1800,300,427.1976,99.08899,11.649420000000001
1323,2100,300,1992.0024,26.93649,80.381916
1324,2400,300,2003.9976,31.35608,63.752345999999996
1325,2700,300,1437.6024,38.86792,58.10184000000001
1326,3000,300,840.0024000000001,70.52591,18.884556
1327,3300,300,1920.0023999999999,32.08093,62.282250000000005
1328,3600,300,1987.1999999999998,33.62905,60.541290000000004
1329,3900,300,1096.7975999999999,53.556439999999995,30.166722
1330,4200,300,1056.0023999999999,60.37003,24.201828000000003
1331,4500,300,2052.0,28.42476,75.54313800000001
1332,4800,300,1663.2,33.16355,56.867508
1333,5100,300,1056.0023999999999,60.507020000000004,24.373656
1334,5400,300,1456.7976,53.33167,35.513694
1335,5700,300,1970.4024,30.96905,68.35833
1336,6000,300,1535.9976,42.71428,40.972500000000004
1337,6300,300,1180.8,58.07844,26.835354
1338,6600,300,1488.0023999999999,40.97331,40.134204000000004
1339,6900,300,1872.0,35.35672,59.531544
1340,7200,300,1327.1976,48.85755,32.038686
1341,7500,300,1293.6024,48.80435,31.26789
1342,7800,300,1648.8,44.73721,40.362461999999994
1343,8100,300,1728.0,33.804610000000004,53.812512
1344,8400,300,1303.2,52.64406,28.263006
1345,8700,300,1399.1976,49.77924,30.779082000000006
1346,9000,300,1780.7975999999999,38.14174,52.013232
1347,9300,300,1526.4,40.789770000000004,40.88205
1348,9600,300,1247.9976000000001,55.38785,28.671948
1349,9900,300,1574.4024,39.168499999999995,42.500322000000004
1351,1500,300,1394.4024,37.85978,51.945948
1352,1800,300,520.7976000000001,92.12112,12.765923999999998
1353,2100,300,1864.8,37.83318,67.30889400000001
1354,2400,300,2289.6,23.75247,106.05281400000001
1355,2700,300,1041.6024,65.7552,21.43827
1356,3000,300,815.9975999999999,72.32673,17.629434
1357,3300,300,1895.9976,34.85531,59.564052
1358,3600,300,2003.9976,33.29123,61.689330000000005
1359,3900,300,995.9975999999999,63.32662,22.445802
1360,4200,300,1116.0,58.00529,25.664526000000002
1361,4500,300,1905.6024,31.17653,67.71081600000001
1362,4800,300,1742.3999999999999,37.39694,51.344604000000004
1363,5100,300,938.3976,66.7926,18.741186000000003
1364,5400,300,1488.0023999999999,46.13637,37.172897999999996
1365,5700,300,1881.5975999999998,38.20026,53.476524
1366,6000,300,1416.0023999999999,43.02417,39.310164
1367,6300,300,1067.9976,62.193459999999995,23.493024
1368,6600,300,1668.0023999999999,41.09301,41.381874
1369,6900,300,1859.9976000000001,37.25995,51.637932000000006
1370,7200,300,1130.4,50.97757,28.582145999999998
1371,7500,300,1322.4024,47.96778,31.586544
1372,7800,300,1740.0023999999999,36.62421,51.10263
1373,8100,300,1701.5975999999998,38.96235,52.530066000000005
1374,8400,300,986.4000000000001,64.03551,21.455496
1375,8700,300,1615.1975999999997,39.96916,42.180966
1376,9000,300,1692.0,39.81355,48.30893999999999
1377,9300,300,1452.0023999999999,46.1909,37.469736000000005
1378,9600,300,1082.3976,61.65082,23.180471999999998
1379,9900,300,1740.0023999999999,33.16621,59.48937
1380,1200,200,2203.2,22.51424,97.61471999999999
1381,1500,300,1391.9976000000001,43.17047,39.96000000000001
1382,1800,300,398.3976,99.36031,11.775888
1383,2100,300,1859.9976000000001,32.24452,82.491102
1384,2400,300,2147.9976,22.8361,95.68557000000001
1385,2700,300,1175.9976000000001,53.39152,29.259198000000005
1386,3000,300,801.5975999999999,74.14351,17.13771
1387,3300,300,1821.6,36.32629,66.173112
1388,3600,300,1895.9976,26.34331,74.294442
1389,3900,300,1060.7975999999999,58.52665,28.075139999999998
1390,4200,300,1056.0023999999999,58.20346,24.422742000000003
1391,4500,300,1984.8024,27.777050000000003,71.277408
1392,4800,300,1627.1999999999998,36.443329999999996,52.152227999999994
1393,5100,300,964.8000000000001,63.514149999999994,21.868650000000006
1394,5400,300,1355.9976,49.01848,34.06298399999999
1395,5700,300,1915.2,34.74226,55.69851599999999
1396,6000,300,1499.9976000000001,40.87888,65.90592000000001
1397,6300,300,943.2,65.30699,20.541978
1398,6600,300,1639.2024000000001,38.401089999999996,48.773934
1399,6900,300,1850.4,34.042680000000004,56.423358
1400,7200,300,1168.7976,48.69529,35.138825999999995
1401,7500,300,1200.0024,48.60618,36.666000000000004
1402,7800,300,1728.0,39.95719,46.769994000000004
1403,8100,300,1696.8023999999998,37.03784,47.996604000000005
1404,8400,300,1099.2024,55.38386,24.264630000000004
1405,8700,300,1432.8000000000002,45.74136,36.560808
1406,9000,300,1620.0,44.001720000000006,41.77602
1407,9300,300,1514.3976000000002,41.41487,41.34294
1408,9600,300,1175.9976000000001,55.89590999999999,26.977968
1409,9900,300,1555.2000000000003,46.80403,36.233352000000004
1411,1500,300,1387.2024000000001,40.04364,59.652234
1412,1800,300,439.2,97.52624,12.511476
1413,2100,300,1646.4024000000002,39.88803,57.904362
1414,2400,300,2183.9975999999997,24.31905,92.968992
1415,2700,300,1187.9999999999998,52.42727,32.10543
1416,3000,300,743.9976,77.35546000000001,15.01551
1417,3300,300,1687.1976,34.33528,58.00199400000001
1418,3600,300,1984.8024,28.69076,70.08897600000002
1419,3900,300,1056.0023999999999,57.587669999999996,24.520914
1420,4200,300,957.6,69.58826,19.77291
1421,4500,300,1807.2,33.253989999999995,64.53464400000001
1422,4800,300,1622.3976,38.201589999999996,51.292007999999996
1423,5100,300,1123.2,55.27746,23.688450000000003
1424,5400,300,1224.0,48.977250000000005,30.780000000000005
1425,5700,300,1898.4024,32.76189,61.994159999999994
1426,6000,300,1344.0024,41.765989999999995,41.878944
1427,6300,300,976.8024,57.41211,21.653081999999998
1428,6600,300,1620.0,36.05364,51.832008
1429,6900,300,1759.1976,39.28687,48.496860000000005
1430,7200,300,1132.7976,55.34662,26.87418
1431,7500,300,1214.4024,53.97273,26.594459999999998
1432,7800,300,1617.6024,46.81068,39.73887
1433,8100,300,1692.0,41.365660000000005,43.605972
1434,8400,300,995.9975999999999,66.21538000000001,22.784112
1435,8700,300,1440.0,46.21351,36.305982
1436,9000,300,1668.0023999999999,41.11961,43.262153999999995
1437,9300,300,1416.0023999999999,50.16095,31.814262000000003
1438,9600,300,1082.3976,59.34194,23.910876000000005
1439,9900,300,1521.5976,43.49898,39.29904
1440,1200,200,2375.9999999999995,25.425610000000002,93.21544800000001
1441,1500,300,1332.0,36.610910000000004,51.158898
1442,1800,300,470.3976,97.61269,12.425508
1443,2100,300,1728.0,39.30682,65.16752399999999
1444,2400,300,2114.4024,25.784709999999997,87.840396
1445,2700,300,991.2024000000001,58.43754,21.691529999999997
1446,3000,300,772.7975999999999,74.85107,16.585722
1447,3300,300,1859.9976000000001,35.10801,54.215999999999994
